index,class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,assembly_no
4494,LJP,5b9afa21-0000-191b-3135-333638393333,921673.5423,472719.9994,-20326.47627,2861.239674,112364.2088,46083.67712,472719.9994,-20336.47315,2860.989752,472720,-20335.67614,2829.109348,-3.21E-15,-0.999687647,-0.024992183,1009.842731,472720,-20337.92573,2919.093015,472546.5321,-20335.49299,2821.783557,42.07678044,10060.93083,109.8425544,472546.5321,-20325.49611,2822.033478,472546.5321,-20325.49611,2822.033478,-0.760405049,0.016231151,-0.649246264,50.98425544,472546.5321,-20335.49299,2821.783557,472546.5321,-20335.49299,2821.783557,12.74606386,52.61958951,4321.70034,149053363.9,72,2499.685461,C3-JD-26
4495,LJP,5b9afa21-0000-1987-3135-333638393333,2256896,458060.8947,-1198.852991,3208.384556,306688,74240,458015,-1198.000626,3242.479166,458015,-1198.000626,3242.479166,-1,3.25E-10,-8.12E-12,1248,458015,-1196.001251,3322.454178,458015,-966.0730918,3236.68098,312,23104,4864,458060.8947,-966.9254568,3202.58637,458073.6667,-966.6062584,3215.35431,3.25E-10,0.999687647,-0.024992183,640,458023,-964.0737171,3316.655992,458023,-964.0737171,3316.655992,106.6666667,4152.888889,38336,1044033536,18,4064,C3-JD-26
4496,LJP,5b9afa21-0000-198f-3135-333638393333,3521536,458060.8947,13537.49171,1994.718093,473088,115840,458095,13583.12498,1999.610146,458095,13583.12498,1999.610146,0,0.994302748,0.106592899,1768,458175,13583.12498,1999.610146,458095,13621.71161,1639.672552,442,79524,4864,458060.8947,13576.07834,1634.780499,458073.6667,13563.37918,1633.419102,-2.99E-15,0.106592899,-0.994302748,640,458175,13613.75718,1638.819809,458175,13613.75718,1638.819809,106.6666667,4152.888889,59136,2614450176,18,5624,C3-JD-26
4497,LJP,5b9afa21-0000-1997-3135-333638393333,2256896,458060.8947,6801.147,3008.384549,306688,74240,458095,6799.99999,2962.504148,458095,6799.99999,2962.504148,-1.13E-27,-0.024992183,-0.999687647,1248,458175,6799.99999,2962.504148,458095,6568.072456,2968.302334,312,23104,4864,458060.8947,7033.074534,3002.586363,458073.6667,7033.393732,3015.354304,3.25E-10,0.999687647,-0.024992183,640,458023,7035.926273,3116.655985,458023,7035.926273,3116.655985,106.6666667,4152.888889,38336,1044033536,18,4064,C3-JD-26
4498,LJP,5b9afa21-0000-199f-3135-333638393333,2256896,458060.8947,-1200.00001,45.8947397,306688,74240,458095,-1200.00001,2.86E-06,458095,-1200.00001,2.86E-06,0,0,-1,1248,458175,-1200.00001,2.86E-06,458095,-1432.00001,2.86E-06,312,23104,4864,458060.8947,-968.0000095,45.8947397,458073.6667,-968.0000095,58.66666952,0,1,-6.57E-15,640,458175,-968.0000095,8.000002857,458175,-968.0000095,8.000002857,106.6666667,4152.888889,38336,1044033536,18,4064,C3-JD-26
4499,LJP,5b9afa21-0000-19a7-3135-333638393333,2256896,458060.8947,7224.99999,45.89473968,306688,74240,458095,7224.99999,2.84E-06,458095,7224.99999,2.84E-06,0,0,-1,1248,458175,7224.99999,2.84E-06,458095,6992.99999,2.84E-06,312,23104,4864,458060.8947,6992.99999,45.89473968,458073.6667,6992.99999,58.66666951,-2.99E-15,-1,5.98E-15,640,458175,6992.99999,8.000002841,458175,6992.99999,8.000002841,106.6666667,4152.888889,38336,1044033536,18,4064,C3-JD-26
4500,LJP,5b9afa21-0000-19af-3135-333638393333,3250000.063,458202.4359,4100.24992,3040.001071,357492.4293,162500.0032,458202.4359,4099.999998,3030.004195,458166.6667,4099.999997,3030.004195,3.70E-10,-0.024992193,-0.999687646,1624.621149,458000,4100,3030.004195,458025,3875.070273,3035.627439,270.7701916,28350.17247,999.999722,458025,3875.320195,3045.624315,458025,3875.320195,3045.624315,-6.87E-08,-0.999687646,0.024992193,139.9999722,458000,3875.320197,3045.624315,458000,3875.320197,3045.624315,34.99999305,224.9997915,44686.55366,4635174679,18,3369.242299,C3-JD-26
4501,LJP,5b9afa21-0000-19b7-3135-333638393333,3250000.063,458202.4359,2499.999998,10.00000152,357492.4293,162500.0032,458202.4359,2499.999998,1.52E-06,458166.6667,2499.999997,1.53E-06,-2.43E-10,-3.15E-09,-1,1624.621149,458000,2500,1.57E-06,458025,2274.999994,2.28E-06,270.7701916,28350.17247,999.999722,458025,2274.999994,10.00000228,458025,2274.999994,10.00000228,-6.86E-08,-1,3.15E-09,139.9999722,458050,2274.999992,10.00000227,458050,2274.999992,10.00000227,34.99999305,224.9997915,44686.55367,4635174679,18,3369.242299,C3-JD-26
4502,LJP,5b9afa21-0000-19bf-3135-333638393333,1980000,458065,13101.49953,2864.984408,172200,66000,458080,13101.49953,2864.984408,458080,13101.49953,2864.984408,1,3.68E-19,1.47E-17,1340,458080,13102.99906,2924.965666,458080,13376.41363,2858.111557,335,46225,3600,458065,13376.41363,2858.111557,458065,13376.41363,2858.111557,0,0.999687647,-0.024992183,300,458065,13374.9141,2798.130299,458065,13374.9141,2798.130299,75,2025,28700,723380000,12,2800,C3-JD-26
4503,LJP,5b9afa21-0000-19c7-3135-333638393333,2256896,458060.8947,-5801.147067,3208.384552,306688,74240,458015,-5801.999432,3242.479162,458015,-5801.999432,3242.479162,-1,-9.34E-20,3.74E-18,1248,458015,-5803.998807,3322.454174,458015,-5570.071898,3248.277349,312,23104,4864,458060.8947,-5569.219533,3214.182738,458073.6667,-5569.538731,3226.950679,0,0.999687647,0.024992183,640,458175,-5568.272461,3176.299838,458175,-5568.272461,3176.299838,106.6666667,4152.888889,38336,1044033536,18,4064,C3-JD-26
