class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,segment_no
UR,5b8c7ab1-0002-c14e-3135-333539343037,66399980.42,621500,-2700,167.311979,22316485.42,3484177.099,621500,-2866.223261,117.0981426,621500,-2866.223261,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,-2899.523,1.661071822,628749.9999,-2866.223261,117.0981426,7370.144012,50834845.66,4579.309011,614250,-2700,167.3119789,614250,-2700,206.0406984,-1,-3.12E-13,0,1538.436337,614250,-2896.640533,0.829576396,614250,-2896.640533,0.829576396,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c151-3135-333539343037,66399980.42,621500,-1900,167.311979,22316485.42,3484177.099,621500,-1733.776739,117.0981426,621500,-1733.776739,117.0981426,0,0.960822296,0.277165142,29480.57605,621500,-1767.076479,232.5352133,628749.9999,-1733.776739,117.0981426,7370.144012,50834845.66,4579.309011,614250,-1900,167.311979,614250,-1900,206.0406984,-1,-3.12E-13,0,1538.436337,614250,-2096.640533,0.829576397,614250,-2096.640533,0.829576397,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c154-3135-333539343037,66399980.42,621500,-1100,167.311979,22316485.42,3484177.099,621500,-933.7767394,117.0981426,621500,-933.7767394,117.0981426,0,0.960822296,0.277165142,29480.57605,621500,-967.0764789,232.5352133,628749.9999,-933.7767394,117.0981426,7370.144012,50834845.66,4579.309011,628749.9999,-1100,167.311979,628749.9999,-1100,206.0406984,1,-1.86E-22,0,1538.436337,628749.9999,-1296.640533,0.829576397,628749.9999,-1296.640533,0.829576397,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c157-3135-333539343037,66399980.42,621500,-300,167.311979,22316485.42,3484177.099,621500,-466.2232606,117.0981426,621500,-466.2232606,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,-499.523,1.661071823,628749.9999,-466.2232606,117.0981426,7370.144012,50834845.66,4579.309011,614250,-300,167.311979,614250,-300,206.0406984,-1,-3.12E-13,0,1538.436337,614250,-496.6405331,0.829576397,614250,-496.6405331,0.829576397,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c15a-3135-333539343038,66399980.42,621500,500,167.311979,22316485.42,3484177.099,621500,666.2232606,117.0981426,621500,666.2232606,117.0981426,0,0.960822296,0.277165142,29480.57605,621500,632.9235211,232.5352133,628749.9999,666.2232606,117.0981426,7370.144012,50834845.66,4579.309011,614250,500,167.311979,614250,500,206.0406984,-1,-3.12E-13,0,1538.436337,614250,303.3594669,0.829576398,614250,303.3594669,0.829576398,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c15d-3135-333539343038,66399980.42,621500,1300,167.311979,22316485.42,3484177.099,621500,1466.223261,117.0981426,621500,1466.223261,117.0981426,0,0.960822296,0.277165142,29480.57605,621500,1432.923521,232.5352133,628749.9999,1466.223261,117.0981426,7370.144012,50834845.66,4579.309011,628749.9999,1300,167.311979,628749.9999,1300,206.0406984,1,-1.86E-22,0,1538.436337,628749.9999,1103.359467,0.829576398,628749.9999,1103.359467,0.829576398,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c160-3135-333539343038,66399980.42,621500,2100,167.311979,22316485.42,3484177.099,621500,2266.223261,117.0981426,621500,2266.223261,117.0981426,0,0.960822296,0.277165142,29480.57605,621500,2232.923521,232.5352133,628749.9999,2266.223261,117.0981426,7370.144012,50834845.66,4579.309011,628749.9999,2100,167.311979,628749.9999,2100,206.0406984,1,-1.86E-22,0,1538.436337,628749.9999,1903.359467,0.829576398,628749.9999,1903.359467,0.829576398,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c163-3135-333539343038,66399980.42,621500,2900,167.311979,22316485.42,3484177.099,621500,2733.776739,117.0981426,621500,2733.776739,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,2700.477,1.661071824,628749.9999,2733.776739,117.0981426,7370.144012,50834845.66,4579.309011,614250,2900,167.311979,614250,2900,206.0406984,-1,-3.12E-13,0,1538.436337,614250,2703.359467,0.829576399,614250,2703.359467,0.829576399,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c166-3135-333539343038,66399980.42,621500,5300,167.311979,22316485.42,3484177.099,621500,5133.776739,117.0981426,621500,5133.776739,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,5100.477,1.661071825,628749.9999,5133.776739,117.0981426,7370.144012,50834845.66,4579.309011,614250,5300,167.311979,614250,5300,206.0406984,-1,-3.12E-13,0,1538.436337,614250,5103.359467,0.8295764,614250,5103.359467,0.8295764,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c169-3135-333539343038,66399980.42,621500,6100,167.311979,22316485.42,3484177.099,621500,5933.776739,117.0981426,621500,5933.776739,117.0981426,0,-0.960822296,0.277165142,29480.57605,621500,5900.477,1.661071826,628749.9999,5933.776739,117.0981426,7370.144012,50834845.66,4579.309011,614250,6100,167.311979,614250,6100,206.0406984,-1,-3.12E-13,0,1538.436337,614250,5903.359467,0.8295764,614250,5903.359467,0.8295764,64.10151404,8666.92498,858326.3624,1.74E+12,72,351076.8714,scw-C3-JD-27
