class,guid,solidMass,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,maxFaceCentreOfMassX,maxFaceCentreOfMassY,maxFaceCentreOfMassZ,maxFaceAxisLocationX,maxFaceAxisLocationY,maxFaceAxisLocationZ,maxFaceAxisDirectX,maxFaceAxisDirectY,maxFaceAxisDirectZ,maxFacePerimeter,maxFaceMaxEdgeCentreX,maxFaceMaxEdgeCentreY,maxFaceMaxEdgeCentreZ,maxFaceMinEdgeCentreX,maxFaceMinEdgeCentreY,maxFaceMinEdgeCentreZ,maxFaceEdgeLengthAverage,maxFaceEdgeLengthVariance,minFaceMass,minFaceCentreOfMassX,minFaceCentreOfMassY,minFaceCentreOfMassZ,minFaceAxisLocationX,minFaceAxisLocationY,minFaceAxisLocationZ,minFaceAxisDirectX,minFaceAxisDirectY,minFaceAxisDirectZ,minFacePerimeter,minFaceMaxEdgeCentreX,minFaceMaxEdgeCentreY,minFaceMaxEdgeCentreZ,minFaceMinEdgeCentreX,minFaceMinEdgeCentreY,minFaceMinEdgeCentreZ,minFaceEdgeLengthAverage,minFaceEdgeLengthVariance,faceMassAverage,faceMassVariance,edgeCount,edgeLenSum,segment_no
IB,6216f418-0002-ad8a-3136-343536373830,232395243.6,1011200,-9938.351124,1398.462528,39194448.9,19366270.33,1011206,-9938.351123,1398.462526,1011206,-10520.3449,549.2868864,1,-9.10E-16,4.47E-15,38492.35808,1011206,-10334.02767,2483.217545,1011206,-15324.09375,1350.327847,45.55308648,148085.0786,69.12123089,1011200,-15324.09375,1350.327847,1011200,-15324.09375,1350.327847,0,-0.980395069,0.197041898,35.52020515,1011206,-15324.09375,1350.327847,1011206,-15324.09375,1350.327847,8.880051287,9.734079971,46274.43789,8.83E+11,2535,87124.71587,lm-61
TB,6216f418-0002-ad9a-3136-343536373830,350946803.6,1012018.364,17924.65547,2363.309247,70520201.15,35094680.43,1012018.364,17924.70553,2368.308996,1011800,16708.17403,2380.474339,-2.17E-17,0.009999523,0.999950004,33084.01753,1012000,19299.95951,2354.556425,1005634.88,16491.54507,2382.640634,413.5502191,2767149.674,28.9027713,1005634.88,16491.49507,2377.640884,1005634.88,16491.49507,2377.640884,-1,1.21E-10,-1.21E-12,25.78055426,1005634.88,16491.44507,2372.641134,1005634.88,16491.44507,2372.641134,6.445138565,12.63703983,860002.4531,2.93E+13,240,66968.05906,lm-61
TB,6216f418-0002-adb2-3136-343536373830,733184000,1012000,-3731.453784,3135.372925,92172160,45824000,1012000,-3731.293816,3127.374524,1012000,-3731.293816,3127.374524,0,0.019996001,-0.99980006,32760,1012000,-5520.935923,3091.581683,1005600,-3731.293816,3127.374524,8190,21252100,57280,1018400,-3731.453784,3135.372925,1018400,-3731.453784,3135.372925,1,0,0,7192,1018400,-1941.811676,3171.165767,1018400,-1941.811676,3171.165767,1798,3175524,15362026.67,4.64E+14,12,65584,lm-61
TB,6216f418-0002-adb6-3136-343536373830,733184000,1012000,-7310.737999,3063.787241,92172160,45824000,1012000,-7310.578031,3055.788841,1012000,-7310.578031,3055.788841,0,0.019996001,-0.99980006,32760,1012000,-9100.220138,3019.995999,1005600,-7310.578031,3055.788841,8190,21252100,57280,1005600,-7310.737999,3063.787241,1005600,-7310.737999,3063.787241,-1,0,0,7192,1005600,-9100.380106,3027.994399,1005600,-9100.380106,3027.994399,1798,3175524,15362026.67,4.64E+14,12,65584,lm-61
TB,6216f418-0002-adba-3136-343536373830,887270400,1012000,-14604.75935,2916.906886,99185036,49292800,1012000,-14604.93931,2925.905086,1012000,-14604.93931,2925.905086,0,-0.019996001,0.99980006,33302,1012000,-12679.82429,2964.407386,1005600,-14604.93931,2925.905086,8325.5,20021150.25,69318,1018400,-14604.75935,2916.906886,1018400,-14604.75935,2916.906886,1,0,0,7738,1018400,-12679.64433,2955.409186,1018400,-12679.64433,2955.409186,1934.5,3672972.25,16530839.33,5.37E+14,12,66676,lm-61
OB,6216f418-0002-adbe-3136-343536373830,396800000,1012000,-3050,-5.000000181,79678000,39680000,1012000,-3050,-10.00000018,1012000,-3050,-10.00000018,0,0,-1,31800,1012000,-4600,-10.00000018,1005600,-3050,-10.00000018,7950,23522500,31000,1018400,-3050,-5.000000181,1018400,-3050,-5.000000181,1,0,0,6220,1018400,-1500,-5.000000181,1018400,-1500,-5.000000181,1555,2387025,13279666.67,3.48E+14,12,63640,lm-61
OB,6216f418-0002-adc2-3136-343536373830,384000000,1012000,-6100,-5.000000268,77116000,38400000,1012000,-6100,-10.00000027,1012000,-6100,-10.00000027,0,0,-1,31600,1012000,-7600,-10.00000027,1005600,-6100,-10.00000027,7900,24010000,30000,1018400,-6100,-5.000000268,1018400,-6100,-5.000000268,1,0,0,6020,1018400,-4600,-5.000000268,1018400,-4600,-5.000000268,1505,2235025,12852666.67,3.26E+14,12,63240,lm-61
OB,6216f418-0002-adc6-3136-343536373830,396800000,1012000,3050,-5.00000918,79678000,39680000,1012000,3050,-10.00000918,1012000,3050,-10.00000918,0,0,-1,31800,1012000,1500,-10.00000918,1005600,3050,-10.00000918,7950,23522500,31000,1018400,3050,-5.00000918,1018400,3050,-5.00000918,1,0,0,6220,1018400,4600,-5.00000918,1018400,4600,-5.00000918,1555,2387025,13279666.67,3.48E+14,12,63640,lm-61
OB,6216f418-0002-adca-3136-343536373830,384000000,1012000,6100,-5.000027863,77116000,38400000,1012000,6100,-10.00002786,1012000,6100,-10.00002786,0,0,-1,31600,1012000,4600,-10.00002786,1005600,6100,-10.00002786,7900,24010000,30000,1018400,6100,-5.000027863,1018400,6100,-5.000027863,1,0,0,6020,1018400,7600,-5.000027863,1018400,7600,-5.000027863,1505,2235025,12852666.67,3.26E+14,12,63240,lm-61
OB,6216f418-0002-adce-3136-343536373830,345600000,1012000,-12140.74255,424.5135012,69430000,34560000,1012000,-12142.12744,419.7091217,1012000,-12142.12744,419.7091217,0,-0.276979261,-0.960875897,31000,1012000,-13439.3099,793.631124,1005600,-12142.12744,419.7091217,7750,25502500,27000,1005600,-12140.74255,424.5135012,1005600,-12140.74255,424.5135012,-1,0,0,5420,1005600,-13437.92501,798.4355035,1005600,-13437.92501,798.4355035,1355,1809025,11571666.67,2.64E+14,12,62040,lm-61
OB,6216f418-0002-add2-3136-343536373830,403692958.7,1012000.002,14953.24279,1235.236435,81057382.99,40369320.73,1012000.006,14954.6279,1230.432119,1012254.632,16209.04496,1592.026692,2.33E-20,0.276979261,-0.960875897,31877.88943,1012000,13439.39743,793.6562387,1018365.051,16468.71449,1666.878266,1275.115577,12188093.16,26.7768311,1018365.051,16467.32959,1671.682646,1018365.051,16467.32959,1671.682646,0.999272287,0.036650787,0.010564848,25.35536622,1018365.051,16468.71449,1666.878266,1018365.051,16468.71449,1666.878266,6.338841554,13.40408117,2795082.172,1.05E+14,77,67136.1697,lm-61
OB,6216f418-0002-adde-3136-343536373830,345600000,1012000,12140.74255,424.5134247,69430000,34560000,1012000,12142.12745,419.7090452,1012000,12142.12745,419.7090452,0,0.276979261,-0.960875897,31000,1012000,10844.94499,45.78704297,1005600,12142.12745,419.7090452,7750,25502500,27000,1018400,12140.74255,424.5134247,1018400,12140.74255,424.5134247,1,0,0,5420,1018400,13437.92501,798.435427,1018400,13437.92501,798.435427,1355,1809025,11571666.67,2.64E+14,12,62040,lm-61
IB,6216f418-0002-ade2-3136-343536373830,243276846.6,1017600,-0.000102677,1361.156381,49026532.29,24327684.77,1017595,-0.000104218,1361.156374,1017595,8.68E-05,170.1269593,-1,-2.20E-15,2.15E-16,37116.29704,1017595,2500,2639.898926,1017595,4761.104725,33.05925088,47.04220157,81542.70786,57.60171531,1017600,-2238.895275,33.05925788,1017600,-2238.895275,33.05925788,0,-0.318641623,-0.947875264,31.52034306,1017605,-2238.895275,33.05925788,1017605,-2238.895275,33.05925788,7.880085765,4.494036363,61980.44538,1.49E+12,2367,82122.59305,lm-61
IB,6216f418-0002-adf6-3136-343536373830,291931808.1,1011200,0.004912638,1361.155519,49100696.65,24327650.72,1011194,0.004913555,1361.155516,1011194,-5.44E-05,170.1269779,-1,-2.60E-15,-3.37E-19,37116.2756,1011194,2500,2639.897993,1011194,4255.910949,34.37375473,47.04217439,81542.46722,69.12225837,1011200,4255.910949,34.37375473,1011200,4255.910949,34.37375473,0,-0.169281478,-0.985567746,35.5203764,1011206,4255.910949,34.37375473,1011206,4255.910949,34.37375473,8.880094099,9.733812833,62074.20563,1.49E+12,2367,83700.55073,lm-61
IB,6216f418-0002-ae0a-3136-343536373830,232394936.6,1011200,9938.357568,1398.46201,39194397.48,19366244.85,1011194,9938.357578,1398.462004,1011194,10520.34477,549.2868577,-1,-2.27E-15,2.70E-14,38492.33849,1011194,10334.03768,2483.217237,1011194,13257.43109,780.1852916,45.55306331,148084.5961,69.1222583,1011200,13257.43109,780.1852916,1011200,13257.43109,780.1852916,0,-0.374490337,-0.927230817,35.52037638,1011206,13257.43109,780.1852916,1011206,13257.43109,780.1852916,8.880094096,9.733812852,46274.37719,8.83E+11,2535,87124.67548,lm-61
AT,6216f418-0002-ae1a-3136-343536373830,350946803.6,1012018.115,-17924.65547,2363.309247,70520201.15,35094680.43,1012018.115,-17924.70553,2368.308996,1011800,-16708.17403,2380.474339,-2.36E-17,-0.009999523,0.999950004,33084.01753,1012000,-19299.95951,2354.556425,1005634.88,-16491.54507,2382.640634,413.5502191,2767149.674,28.90277127,1005634.88,-16491.49507,2377.640884,1005634.88,-16491.49507,2377.640884,-1,-1.21E-10,-1.21E-12,25.78055426,1005634.88,-16491.44507,2372.641134,1005634.88,-16491.44507,2372.641134,6.445138565,12.63703983,860002.4531,2.93E+13,240,66968.05906,lm-61
TB,6216f418-0002-ae32-3136-343536373830,824627205.2,1012000,10890.4454,2991.195052,92213641.8,45824000,1012000,10890.18218,3000.200046,1012000,10890.18218,3000.200046,0,0.019996001,0.99980006,32760,1012000,12679.82429,2964.407204,1005600,10890.18218,3000.200046,8190,21252100,64424,1005600,10890.4454,2991.195052,1005600,10535.24516,2996.896706,-1,0,0,7194.124515,1005600,9100.380107,3027.994487,1005600,9100.380107,3027.994487,1438.824903,3033650.098,13173377.4,4.24E+14,15,78388.24903,lm-61
