class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,maxFaceMass,faceMassAverage,faceMassVariance,edgeCount,segment_no
RF,6216f418-0002-b17f-3136-343536373830,1011059.657,-10596.20052,380.8727046,222291.8425,27605.27865,5063479270,45,lm-61
RF,6216f418-0002-b182-3136-343536373830,1011340.343,-10596.20052,380.872706,222291.8434,27605.27875,5063479312,45,lm-61
RF,6216f418-0002-b185-3136-343536373830,1011019.321,-10603.99197,575.9548102,53160,20873.33345,532585685.9,12,lm-61
RF,6216f418-0002-b188-3136-343536373830,1010971.5,-10648.5795,10.056716,20605.42419,10605.67457,56001367.54,30,lm-61
RF,6216f418-0002-b18b-3136-343536373830,1011380.679,-10603.99197,575.9548102,53160,20873.33345,532585685.9,12,lm-61
RF,6216f418-0002-b18e-3136-343536373830,1011428.5,-10648.5795,10.05671592,20605.42419,10605.67457,56001367.53,30,lm-61
RF,6216f418-0002-b191-3136-343536373830,1017542.5,-2400.020355,2646.898687,840175.0854,296645.0301,1.48E+11,12,lm-61
IB,6216f418-0002-b194-3136-343536373830,1011200,-3736.787148,2838.866328,1305278.297,12044.99092,14682267155,684,lm-61
IB,6216f418-0002-b197-3136-343536373830,1011200,-7308.565044,2767.430619,1305278.478,12044.99266,14682270346,684,lm-61
IB,6216f418-0002-b19a-3136-343536373830,1011200,-10880.162,2695.193199,1298224.775,11983.46468,14524056503,684,lm-61
IB,6216f418-0002-b19d-3136-343536373830,1011200,-14219.26429,2630.935098,1128652.593,11683.69902,12301075454,609,lm-61
RF,6216f418-0002-b1a8-3136-343536373830,1011124,2.69E-06,444.9999722,1344000,480466.6667,3.74E+11,12,lm-61
RF,6216f418-0002-b1ab-3136-343536373830,1011123.93,-7887.285873,445.0014933,752435.9795,100946.8067,60939568258,42,lm-61
RF,6216f418-0002-b1ae-3136-343536373830,1011142.5,-2400.019944,2646.899092,849777,299852.3333,1.52E+11,12,lm-61
IR,6216f418-0002-b1b1-3136-343536373830,1011199.999,16351.14606,2247.655987,729548.8,116354.3122,63198534006,32,lm-61
RF,6216f418-0002-b1cc-3136-343536373830,1016000,16295.09048,2275.625009,404491.2166,9674.808794,3627745967,258,lm-61
IR,6216f418-0002-b1d3-3136-343536373830,1016800,18499.29506,2292.10098,188883.6778,15833.29934,2512362124,72,lm-61
IR,6216f418-0002-b1d6-3136-343536373830,1016800,17999.32005,2297.100742,188883.6778,15833.29934,2512362124,72,lm-61
