guid,part_pos,class,weight,area_gross,area,area_net,a_net_xy,a_net_xz,a_net_yz,area_plan,assembly_no
5B8C7AB1-0000-2E96-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2E99-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EA2-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EA5-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EA8-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EAB-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EAE-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EB1-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EB4-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EB7-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EBA-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EBD-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2EC0-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2EC3-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EC6-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EC9-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2ECC-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2ECF-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2ED2-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2ED5-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2ED8-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2EDB-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2EDE-3135-333539333737,TBP-385,TBP,1.97,0.09,0.13,0.13,1112,1145,62758,0,C3-JD-24
5B8C7AB1-0000-2EE1-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EE4-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EE7-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EEA-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EED-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EF0-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EF3-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EF6-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EF9-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EFC-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2EFF-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2F0B-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F0E-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F1A-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F1D-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F02-3135-333539333737,TBP-384,TBP,2.05,0.09,0.13,0.13,1134,1169,65348,0,C3-JD-24
5B8C7AB1-0000-2F2C-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F2F-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F3B-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F3E-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F4A-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F4D-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F05-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F5C-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F5F-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F6B-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F6E-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F7A-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F7D-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F08-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F8C-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F8F-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F9B-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F9E-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F11-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F14-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F17-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F20-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F23-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F26-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F29-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F32-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F35-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F38-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F41-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F44-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F47-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F50-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F53-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
5B8C7AB1-0000-2F56-3135-333539333737,DBP-251,DBP,1.41,0.1,0.1,0.1,23212,15240,2984,0.01,C3-JD-24
